dataset,model,defense,k,N_injected,n_queries,ASR_no_defense,ASR_with_defense,ASR_delta,mean_N_retrieved_poison,mean_N_retrieved_clean,mean_N_adv_estimated,mean_removed_poison,mean_removed_clean,mean_poison_recall,mean_clean_false_positive_rate,mean_residual_poison_fraction,mean_latency_defense_sec
hotpotqa,gpt4,none,5,5,10,,,,5,0,,0,0,0.0,,1.0,5.212399999621198e-06
hotpotqa,gpt4,oracle_remove_all_poison,5,5,10,,,,5,0,5,5,0,1.0,,,5.229200000300693e-06
hotpotqa,gpt4,ragdefender_original,5,5,10,,,,5,0,2.8,2.8,0,0.56,,1.0,0.07024722500000032
hotpotqa,gpt4,random_remove_same_count,5,5,10,,,,5,0,2.8,2.8,0,0.56,,1.0,0.03488524169999998
hotpotqa,gpt4,none,10,5,10,,,,5,5,,0,0,0.0,0.0,0.5,5.616700000032893e-06
hotpotqa,gpt4,oracle_remove_all_poison,10,5,10,,,,5,5,5,5,0,1.0,0.0,0.0,7.912399999199238e-06
hotpotqa,gpt4,ragdefender_original,10,5,10,,,,5,5,5.4,4.4,1,0.88,0.2,0.0880952380952381,0.14535357960000006
hotpotqa,gpt4,random_remove_same_count,10,5,10,,,,5,5,5.4,2.6,2.8,0.52,0.5599999999999999,0.5164285714285715,0.06176404160000004
